deal_id,stage,probability,deal_size,expected_close_date,sales_rep,segment,acquisition_channel,sales_cycle_days
DEAL-2315,Demo,0.3,25000,2026-03-01,Casey,SMB,Event,71
DEAL-2316,Evaluation,0.5,117000,2026-09-01,Riley,Mid-Market,Outbound,92
DEAL-2317,Evaluation,0.5,259000,2026-03-01,Jamie,Enterprise,Outbound,142
DEAL-2318,Discovery,0.15,24000,2026-03-01,Avery,SMB,Inbound,45
DEAL-2319,Demo,0.3,25000,2026-12-01,Jamie,SMB,Inbound,53
DEAL-2320,Demo,0.3,27000,2026-12-01,Riley,SMB,Partner,89
DEAL-2321,Demo,0.3,140000,2026-01-01,Taylor,Mid-Market,Inbound,74
DEAL-2322,Evaluation,0.5,51000,2026-10-01,Avery,SMB,Outbound,33
DEAL-2323,Discovery,0.15,178000,2026-12-01,Jordan,Mid-Market,Outbound,103
DEAL-2324,Discovery,0.15,403000,2026-05-01,Casey,Enterprise,Inbound,153
DEAL-2325,Discovery,0.15,268000,2026-11-01,Taylor,Enterprise,Partner,138
DEAL-2326,Evaluation,0.5,317000,2026-12-01,Riley,Enterprise,Outbound,126
DEAL-2327,Discovery,0.15,105000,2026-01-01,Casey,Mid-Market,Outbound,91
DEAL-2328,Discovery,0.15,31000,2026-09-01,Avery,SMB,Outbound,46
DEAL-2329,Proposal,0.65,26000,2026-09-01,Morgan,SMB,Partner,50
DEAL-2330,Negotiation,0.8,102000,2026-12-01,Avery,Mid-Market,Partner,57
DEAL-2331,Evaluation,0.5,28000,2026-12-01,Taylor,SMB,Inbound,68
DEAL-2332,Proposal,0.65,143000,2026-12-01,Avery,Mid-Market,Inbound,82
DEAL-2333,Discovery,0.15,44000,2026-03-01,Avery,SMB,Inbound,61
DEAL-2334,Commit,0.92,120000,2026-01-01,Jordan,Mid-Market,Inbound,84
DEAL-2335,Commit,0.92,171000,2026-12-01,Jordan,Mid-Market,Partner,94
DEAL-2336,Discovery,0.15,32000,2026-03-01,Jordan,SMB,Inbound,68
DEAL-2337,Proposal,0.65,400000,2026-02-01,Morgan,Enterprise,Inbound,107
DEAL-2338,Commit,0.92,450000,2026-09-01,Avery,Enterprise,Outbound,130
DEAL-2339,Negotiation,0.8,44000,2026-09-01,Morgan,SMB,Inbound,49
DEAL-2340,Discovery,0.15,34000,2026-12-01,Taylor,SMB,Inbound,37
DEAL-2341,Evaluation,0.5,148000,2026-12-01,Jamie,Mid-Market,Partner,95
DEAL-2342,Demo,0.3,299000,2026-11-01,Avery,Enterprise,Outbound,108
DEAL-2343,Demo,0.3,504000,2026-12-01,Jamie,Enterprise,Inbound,122
DEAL-2344,Discovery,0.15,98000,2026-09-01,Jamie,Mid-Market,Outbound,76
DEAL-2345,Discovery,0.15,99000,2026-04-01,Morgan,Mid-Market,Inbound,88
DEAL-2346,Discovery,0.15,35000,2026-11-01,Casey,SMB,Outbound,50
DEAL-2347,Negotiation,0.8,113000,2026-04-01,Casey,Mid-Market,Outbound,80
DEAL-2348,Commit,0.92,26000,2026-01-01,Jordan,SMB,Inbound,23
DEAL-2349,Commit,0.92,109000,2026-04-01,Taylor,Mid-Market,Partner,82
DEAL-2350,Evaluation,0.5,113000,2026-12-01,Morgan,Mid-Market,Inbound,89
DEAL-2351,Discovery,0.15,99000,2026-10-01,Taylor,Mid-Market,Inbound,62
DEAL-2352,Evaluation,0.5,30000,2026-12-01,Riley,SMB,Inbound,59
DEAL-2353,Demo,0.3,406000,2026-12-01,Jamie,Enterprise,Inbound,133
DEAL-2354,Proposal,0.65,220000,2026-07-01,Riley,Enterprise,Outbound,130
DEAL-2355,Evaluation,0.5,141000,2026-11-01,Jordan,Mid-Market,Inbound,72
DEAL-2356,Evaluation,0.5,251000,2026-12-01,Morgan,Enterprise,Partner,133
DEAL-2357,Proposal,0.65,36000,2026-10-01,Jamie,SMB,Inbound,43
DEAL-2358,Negotiation,0.8,76000,2026-12-01,Morgan,Mid-Market,Outbound,79
DEAL-2359,Demo,0.3,109000,2026-06-01,Casey,Mid-Market,Outbound,77
DEAL-2360,Commit,0.92,140000,2026-07-01,Riley,Mid-Market,Inbound,111
DEAL-2361,Negotiation,0.8,31000,2026-04-01,Avery,SMB,Outbound,71
DEAL-2362,Commit,0.92,281000,2026-09-01,Casey,Enterprise,Outbound,138
DEAL-2363,Proposal,0.65,31000,2026-05-01,Jamie,SMB,Event,47
DEAL-2364,Proposal,0.65,71000,2026-07-01,Jamie,Mid-Market,Inbound,113
DEAL-2365,Evaluation,0.5,121000,2026-06-01,Taylor,Mid-Market,Outbound,74
DEAL-2366,Commit,0.92,90000,2026-12-01,Jamie,Mid-Market,Inbound,85
DEAL-2367,Evaluation,0.5,560000,2026-05-01,Riley,Enterprise,Outbound,138
DEAL-2368,Negotiation,0.8,173000,2026-09-01,Jordan,Mid-Market,Inbound,78
DEAL-2369,Demo,0.3,87000,2026-09-01,Morgan,Mid-Market,Outbound,76
DEAL-2370,Discovery,0.15,422000,2026-10-01,Jamie,Enterprise,Partner,123
DEAL-2371,Negotiation,0.8,18000,2026-10-01,Jordan,SMB,Outbound,55
DEAL-2372,Evaluation,0.5,127000,2026-10-01,Jamie,Mid-Market,Inbound,53
DEAL-2373,Discovery,0.15,140000,2026-12-01,Riley,Mid-Market,Outbound,83
DEAL-2374,Evaluation,0.5,122000,2026-07-01,Riley,Mid-Market,Outbound,89
DEAL-2375,Proposal,0.65,48000,2026-12-01,Taylor,SMB,Event,39
DEAL-2376,Negotiation,0.8,316000,2026-09-01,Jordan,Enterprise,Event,148
DEAL-2377,Commit,0.92,263000,2026-11-01,Avery,Enterprise,Partner,131
DEAL-2378,Evaluation,0.5,123000,2026-12-01,Jamie,Mid-Market,Inbound,92
DEAL-2379,Negotiation,0.8,28000,2026-06-01,Casey,SMB,Event,62
DEAL-2380,Proposal,0.65,45000,2026-04-01,Avery,SMB,Outbound,44
DEAL-2381,Discovery,0.15,109000,2026-12-01,Taylor,Mid-Market,Inbound,65
DEAL-2382,Evaluation,0.5,48000,2026-12-01,Taylor,SMB,Outbound,50
DEAL-2383,Demo,0.3,269000,2026-03-01,Avery,Enterprise,Outbound,140
DEAL-2384,Commit,0.92,316000,2026-03-01,Avery,Enterprise,Inbound,82
DEAL-2385,Negotiation,0.8,26000,2026-03-01,Casey,SMB,Inbound,75
DEAL-2386,Evaluation,0.5,29000,2026-02-01,Taylor,SMB,Partner,70
DEAL-2387,Demo,0.3,43000,2026-12-01,Casey,SMB,Inbound,43
DEAL-2388,Evaluation,0.5,45000,2026-12-01,Riley,SMB,Partner,59
DEAL-2389,Proposal,0.65,41000,2026-09-01,Jordan,SMB,Outbound,57
DEAL-2390,Discovery,0.15,108000,2026-08-01,Jordan,Mid-Market,Outbound,71
DEAL-2391,Commit,0.92,34000,2026-02-01,Jordan,SMB,Outbound,47
DEAL-2392,Evaluation,0.5,48000,2026-12-01,Taylor,SMB,Inbound,56
DEAL-2393,Evaluation,0.5,33000,2026-11-01,Jamie,SMB,Inbound,45
DEAL-2394,Proposal,0.65,356000,2026-08-01,Jamie,Enterprise,Outbound,142
DEAL-2395,Proposal,0.65,149000,2026-06-01,Morgan,Mid-Market,Inbound,84
DEAL-2396,Proposal,0.65,134000,2026-01-01,Morgan,Mid-Market,Outbound,81
DEAL-2397,Discovery,0.15,37000,2026-09-01,Riley,SMB,Event,61
DEAL-2398,Negotiation,0.8,297000,2026-04-01,Morgan,Enterprise,Partner,112
DEAL-2399,Negotiation,0.8,29000,2026-02-01,Jordan,SMB,Outbound,35
DEAL-2400,Proposal,0.65,37000,2026-09-01,Casey,SMB,Inbound,53
DEAL-2401,Commit,0.92,527000,2026-08-01,Avery,Enterprise,Partner,130
DEAL-2402,Proposal,0.65,27000,2026-01-01,Jordan,SMB,Partner,64
DEAL-2403,Commit,0.92,109000,2026-04-01,Taylor,Mid-Market,Inbound,70
DEAL-2404,Demo,0.3,27000,2026-04-01,Taylor,SMB,Inbound,48
DEAL-2405,Discovery,0.15,471000,2026-05-01,Riley,Enterprise,Outbound,151
DEAL-2406,Negotiation,0.8,25000,2026-12-01,Morgan,SMB,Inbound,44
DEAL-2407,Evaluation,0.5,21000,2026-11-01,Morgan,SMB,Inbound,62
DEAL-2408,Negotiation,0.8,133000,2026-06-01,Avery,Mid-Market,Outbound,94
DEAL-2409,Discovery,0.15,87000,2026-04-01,Avery,Mid-Market,Inbound,81
DEAL-2410,Discovery,0.15,149000,2026-04-01,Jordan,Mid-Market,Inbound,102
DEAL-2411,Evaluation,0.5,129000,2026-03-01,Morgan,Mid-Market,Outbound,73
DEAL-2412,Discovery,0.15,364000,2026-04-01,Jamie,Enterprise,Outbound,137
DEAL-2413,Discovery,0.15,146000,2026-11-01,Avery,Mid-Market,Partner,87
DEAL-2414,Evaluation,0.5,77000,2026-09-01,Taylor,Mid-Market,Outbound,73
DEAL-2415,Evaluation,0.5,19000,2026-11-01,Riley,SMB,Inbound,56
DEAL-2416,Discovery,0.15,38000,2026-06-01,Taylor,SMB,Event,15
DEAL-2417,Demo,0.3,159000,2026-03-01,Jordan,Mid-Market,Inbound,82
DEAL-2418,Proposal,0.65,178000,2026-07-01,Morgan,Mid-Market,Outbound,88
DEAL-2419,Negotiation,0.8,45000,2026-06-01,Morgan,SMB,Outbound,60
