month,department,role,start_date,fully_loaded_annual_cost,headcount,monthly_cost
2026-08,Sales,Account Executive,2024-01-01,185000,41,632083.33
2026-08,Sales,Sales Development Rep,2024-01-01,105000,24,210000.0
2026-08,Sales,Sales Leadership,2024-01-01,240000,6,120000.0
2026-08,Customer Success,Customer Success Manager,2024-01-01,125000,22,229166.67
2026-08,Customer Success,Implementation,2024-01-01,112000,9,84000.0
2026-08,Marketing,Demand Generation,2024-01-01,145000,10,120833.33
2026-08,Marketing,Content & Brand,2024-01-01,132000,7,77000.0
2026-08,Product & Engineering,Software Engineer,2024-01-01,175000,63,918750.0
2026-08,Product & Engineering,Product Manager,2024-01-01,165000,11,151250.0
2026-08,Product & Engineering,Design & Research,2024-01-01,145000,8,96666.67
2026-08,G&A,Finance & Accounting,2024-01-01,142000,9,106500.0
2026-08,G&A,People & Legal,2024-01-01,150000,8,100000.0
2026-08,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2026-09,Sales,Account Executive,2024-01-01,185000,41,632083.33
2026-09,Sales,Sales Development Rep,2024-01-01,105000,25,218750.0
2026-09,Sales,Sales Leadership,2024-01-01,240000,6,120000.0
2026-09,Customer Success,Customer Success Manager,2024-01-01,125000,22,229166.67
2026-09,Customer Success,Implementation,2024-01-01,112000,9,84000.0
2026-09,Marketing,Demand Generation,2024-01-01,145000,10,120833.33
2026-09,Marketing,Content & Brand,2024-01-01,132000,7,77000.0
2026-09,Product & Engineering,Software Engineer,2024-01-01,175000,64,933333.33
2026-09,Product & Engineering,Product Manager,2024-01-01,165000,11,151250.0
2026-09,Product & Engineering,Design & Research,2024-01-01,145000,8,96666.67
2026-09,G&A,Finance & Accounting,2024-01-01,142000,9,106500.0
2026-09,G&A,People & Legal,2024-01-01,150000,8,100000.0
2026-09,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2026-10,Sales,Account Executive,2024-01-01,185000,41,632083.33
2026-10,Sales,Sales Development Rep,2024-01-01,105000,24,210000.0
2026-10,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2026-10,Customer Success,Customer Success Manager,2024-01-01,125000,21,218750.0
2026-10,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2026-10,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2026-10,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2026-10,Product & Engineering,Software Engineer,2024-01-01,175000,63,918750.0
2026-10,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2026-10,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2026-10,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2026-10,G&A,People & Legal,2024-01-01,150000,7,87500.0
2026-10,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2026-11,Sales,Account Executive,2024-01-01,185000,41,632083.33
2026-11,Sales,Sales Development Rep,2024-01-01,105000,24,210000.0
2026-11,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2026-11,Customer Success,Customer Success Manager,2024-01-01,125000,21,218750.0
2026-11,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2026-11,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2026-11,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2026-11,Product & Engineering,Software Engineer,2024-01-01,175000,64,933333.33
2026-11,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2026-11,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2026-11,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2026-11,G&A,People & Legal,2024-01-01,150000,7,87500.0
2026-11,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
2026-12,Sales,Account Executive,2024-01-01,185000,40,616666.67
2026-12,Sales,Sales Development Rep,2024-01-01,105000,23,201250.0
2026-12,Sales,Sales Leadership,2024-01-01,240000,5,100000.0
2026-12,Customer Success,Customer Success Manager,2024-01-01,125000,20,208333.33
2026-12,Customer Success,Implementation,2024-01-01,112000,8,74666.67
2026-12,Marketing,Demand Generation,2024-01-01,145000,9,108750.0
2026-12,Marketing,Content & Brand,2024-01-01,132000,6,66000.0
2026-12,Product & Engineering,Software Engineer,2024-01-01,175000,63,918750.0
2026-12,Product & Engineering,Product Manager,2024-01-01,165000,10,137500.0
2026-12,Product & Engineering,Design & Research,2024-01-01,145000,7,84583.33
2026-12,G&A,Finance & Accounting,2024-01-01,142000,8,94666.67
2026-12,G&A,People & Legal,2024-01-01,150000,7,87500.0
2026-12,G&A,IT & Facilities,2024-01-01,125000,5,52083.33
